,weight,New_Age
0,54.025915,125.4657044
1,38.2910626,258.3870578
2,38.83696304,276.2826553
3,37.20555929,232.9960653
4,38.75661603,92.23155431
5,53.97972925,351.4715892
6,37.30258963,243.4849658
7,42.32046004,316.3585378
8,31.31583193,217.1394286
9,43.48067825,16.52768486
10,45.26808797,255.1339946
11,39.56080883,259.0873376
12,32.2773789,308.6986274
13,51.64047927,336.509468
14,42.48613023,136.2957921
15,53.38799207,338.9716113
16,47.00395554,246.7920603
17,46.99147212,308.1469671
18,46.51538223,253.6584667
19,43.30690704,228.0663212
20,51.79338225,168.4313026
21,54.23848987,330.9837776
22,37.23203269,245.4410968
23,70.49568078,63.65261299
24,52.33865206,397.9578915
25,34.5409947,205.8586851
26,37.60920193,402.5155131
27,46.71119104,462.6646945
28,44.35312761,205.2601515
29,33.478784,177.8101346
30,27.42027224,363.6485126
31,30.80553567,378.7155923
32,48.06130098,258.141196
33,51.4201971,178.6134343
34,37.48284408,226.2362283
35,35.28434033,200.7423661
36,50.2883832,219.2692648
37,44.86689178,285.1651969
38,34.71731318,266.9661536
39,53.15295944,207.4457915
40,29.47226678,287.3877582
41,40.94963179,62.14564622
42,40.81078756,153.0713394
43,50.61360379,149.8309087
44,48.21467505,274.9521074
45,58.60129971,294.5943357
46,43.22072074,348.2928202
47,39.98430352,270.2012212
48,24.09928002,346.6996422
49,51.14969564,264.2460526
50,31.89564049,352.5589669
51,36.73501607,263.6118476
52,49.99901594,338.6288385
53,38.0291184,315.040602
54,40.11218679,175.8408971
55,60.02092228,285.6710174
56,58.55222042,351.1813622
57,35.98816765,265.1985773
58,32.96753599,175.9177765
59,37.96797731,218.5036864
60,28.51929155,201.1374319
61,55.84937009,254.8513516
62,30.51575313,248.0746211
63,29.3543907,327.6963468
64,36.51680784,72.58738731
65,31.1152279,228.5790936
66,41.27663376,331.7566377
67,35.38419412,380.9962767
68,39.08225979,114.2149167
69,27.33984136,237.9586972
70,24.35206694,183.4944906
71,50.51969135,377.3196182
72,40.76600487,352.39465
73,44.11011709,329.6498587
74,20.31088237,278.8237575
75,65.03043486,244.2999401
76,33.91367771,226.506211
77,59.99879345,211.7777858
78,37.15467318,234.9847073
79,28.47945695,225.5658286
80,29.48356597,225.4118626
81,38.01098537,307.2541697
82,45.65763241,156.3027784
83,33.68208144,391.6660283
84,21.78880391,292.7821442
85,24.21618946,353.1242258
86,48.31072067,362.7286225
87,36.60124723,236.5485593
88,38.24312068,348.6366334
89,33.96427859,296.0023297
90,41.81928604,263.8494508
91,57.41269299,374.7794695
92,50.0830726,390.1725757
93,67.28664216,263.5372116
94,34.50490777,192.8515732
95,12.54334087,327.7174633
96,38.44965751,429.1229374
97,49.57690487,361.9664345
98,45.24727042,348.0610688
99,32.3434469,304.1547689
100,38.96750958,281.7802779
101,41.85837494,262.9592793
102,47.41569587,388.7981408
103,42.52607221,282.6018739
104,40.74935134,408.4376186
105,46.58281998,382.7184823
106,28.20447794,312.0243073
107,36.91952785,190.2529855
108,36.25905314,320.0001187
109,33.40780065,289.0239605
110,39.75172081,167.308765
111,44.07968005,214.9653697
112,37.66224963,347.7687416
113,43.7454644,357.4450215
114,27.62336093,287.8598111
115,26.99946793,239.7101242
116,32.42699598,332.4862843
117,35.56327911,313.3496442
118,28.75139143,264.5423056
119,16.4397029,254.9836955
120,34.85272562,333.7677606
121,34.61559222,387.2586747
122,16.09328296,328.8205815
123,30.57125375,230.5090256
124,33.11080133,260.1544166
125,44.72406315,352.8534789
126,39.7131544,251.1426181
127,37.70633496,155.9559437
128,44.09632993,271.6262505
129,38.6477797,207.9420948
130,38.77319047,306.1730926
131,46.54397614,350.0017902
132,52.44924303,133.6171023
133,41.69279405,326.6228503
134,42.87146521,271.3753776
135,31.74738753,279.2366359
136,52.14462844,275.2004953
137,31.21476142,238.0725779
138,30.73793394,232.8912044
139,27.83931253,307.8398806
140,52.88827569,192.7098479
141,20.66827844,215.9664165
142,44.60247743,296.7431641
143,30.15991465,243.6410179
144,23.11175546,364.9185626
145,34.52054802,312.3781
146,54.26307704,224.7019424
147,43.344275,327.8001265
148,38.82932295,208.3266032
149,50.3108705,228.6931646
150,40.88813238,221.2965326
151,40.6985846,340.1168576
152,40.34139631,173.5660935
153,44.12526445,270.3278345
154,46.32275727,355.2068446
155,52.74448594,203.6382802
156,44.2576397,247.5908509
157,30.02542874,342.7241496
158,41.37017613,203.6289953
159,45.27144425,177.5167256
160,51.91820564,325.5497948
161,35.80413178,273.5361964
162,40.17934787,285.5909748
163,24.9798975,242.2475204
164,30.23722975,258.5325596
165,29.09616481,130.8297105
166,47.61844417,173.3917591
167,50.7563034,275.9211816
168,45.84108489,269.3435781
169,46.77318484,431.1870831
170,42.4537369,245.7698316
171,40.63877745,286.1878018
172,55.3923423,404.9615825
173,50.8599201,269.612577
174,38.33188127,242.0798582
175,33.92606382,309.7480233
176,32.0541516,309.1529575
177,37.47688307,224.9444607
178,28.50982386,454.5901842
179,60.41177158,284.0488807
180,43.37558228,247.9394517
181,21.35580025,402.1215629
182,41.08674188,459.3747652
183,43.91427082,123.2166064
184,57.75349005,227.8920832
185,38.62372149,360.1129618
186,51.64969605,218.0659174
187,63.56992524,286.3679788
188,45.84447571,323.7073562
